iter	RMSE
0	23.66449737
1	22.64105408
2	21.74211916
3	20.75848523
4	19.85460634
5	19.06224372
6	18.42465092
7	17.66919112
8	17.09121787
9	16.41368389
10	15.73986448
11	15.11430271
12	14.59034538
13	14.06528005
14	13.51551001
15	13.09212007
16	12.67925044
17	12.22176319
18	11.74473271
19	11.34922855
20	10.98595715
21	10.65835527
22	10.30477377
23	10.01469892
24	9.723831921
25	9.492973903
26	9.270483763
27	9.062756889
28	8.791675485
29	8.584278654
30	8.378979846
31	8.165646327
32	7.96899202
33	7.822503031
34	7.666529857
35	7.527364417
36	7.395639358
37	7.235657395
38	7.106730951
39	6.948111424
40	6.808275525
41	6.707089224
42	6.595507385
43	6.506938131
44	6.438696839
45	6.330817338
46	6.276933949
47	6.188957561
48	6.125180723
49	6.061485696
50	5.990469101
51	5.909287786
52	5.842169287
53	5.787079232
54	5.725702159
55	5.666747194
56	5.615047747
57	5.556569386
58	5.513081356
59	5.465174919
60	5.420667236
61	5.376890116
62	5.338832094
63	5.303322316
64	5.265653026
65	5.231932858
66	5.199642853
67	5.168725524
68	5.136580599
69	5.10823268
70	5.081097026
71	5.04716995
72	5.021971215
73	4.993609984
74	4.96807291
75	4.944948574
76	4.922825118
77	4.901660338
78	4.881413651
79	4.861098277
80	4.842311415
81	4.823411769
82	4.805958777
83	4.777385723
84	4.75970774
85	4.743647348
86	4.728276566
87	4.713566003
88	4.699487442
89	4.686013802
90	4.673119101
91	4.659378085
