iter	Passed	Remaining
0	0	16
1	0	13
2	0	12
3	0	11
4	0	11
5	0	10
6	0	10
7	0	10
8	1	9
9	1	9
10	1	9
11	1	9
12	1	9
13	1	8
14	1	8
15	1	8
16	1	8
17	2	8
18	2	8
19	2	8
20	2	8
21	2	7
22	2	7
23	2	7
24	2	7
25	2	7
26	3	7
27	3	7
28	3	7
29	3	6
30	3	6
31	3	6
32	3	6
33	3	6
34	3	6
35	3	6
36	4	6
37	4	5
38	4	5
39	4	5
40	4	5
41	4	5
42	4	5
43	4	5
44	4	5
45	5	5
46	5	4
47	5	4
48	5	4
49	5	4
50	5	4
51	5	4
52	5	4
53	5	4
54	5	4
55	6	3
56	6	3
57	6	3
58	6	3
59	6	3
60	6	3
61	6	3
62	6	3
63	6	3
64	7	2
65	7	2
66	7	2
67	7	2
68	7	2
69	7	2
70	7	2
71	7	2
72	7	2
73	7	1
74	8	1
75	8	1
76	8	1
77	8	1
78	8	1
79	8	1
80	8	1
81	8	1
82	8	0
83	9	0
84	9	0
85	9	0
86	9	0
87	9	0
88	9	0
89	9	0
90	9	0
91	9	0
